Date,Close Price,menu,count
2023/4/27,14540.5555,溫體牛肉,40
2023/4/28,9050.555,溫體牛肉3+1,58
2023/4/29,14530.5555,牛三層肉,24
2023/4/30,21260.5555,加肉,34
2023/5/3,3710.555,牛心,0
2023/5/4,7460.555,牛筋,0
2023/5/5,9830.555,牛雜,0
2023/5/6,26210.5555,牛肉貢丸(7粒),10
2023/5/7,24050.5555,高麗菜,15
2023/5/10,12180.5555,青江菜,24
2023/5/11,7430.555,娃娃菜,10
2023/5/12,16000.5555,玉米,8
2023/5/13,16490.5555,綜合菇,15
2023/5/18,6530.555,茼蒿,0
2023/5/19,11190.5555,溫體牛肉湯,42
2023/5/20,15300.5555,牛三層肉湯,34
2023/5/21,20280.5555,牛筋湯,5
2023/5/24,10490.5555,牛雜湯,0
2023/5/25,8120.555,牛心湯,0
2023/5/26,6110.555,綜合湯,10
2023/5/27,15690.5555,芥蘭炒牛肉,12
2023/5/28,9790.555,油菜炒牛肉,19
2023/5/31,9200.555,高麗菜炒牛肉,29
2023/6/1,9130.555,青椒炒牛肉,34
2023/6/2,15010.5555,蒜頭炒牛肉,23
2023/6/3,17530.5555,青蔥炒牛肉,40
2023/6/4,25110.5555,洋蔥炒牛肉,26
2023/6/7,6120.555,滑蛋炒牛肉,35
2023/6/8,10680.5555,薑絲炒牛肉,28
2023/6/9,8350.555,三菇炒牛肉,24
2023/6/10,23460.5555,炒牛雜,0
2023/6/11,20460.5555,金沙苦瓜牛肉,2
2023/6/14,10470.5555,薑絲炒牛肚,10
,,麻油牛心,4
,,麻油牛腦,7
,,牛骨隨,2
,,牛鞭,0
,,炒牛肉麵,4
,,炒牛雜麵,5
